,word,start,end,prob,explicit
204,energy,55.32,55.6,0.54622882604599,0
205,watch,55.68,55.88,0.997653067111969,0
206,what,55.88,55.98,0.8988487720489502,0
207,you,55.98,56.0,0.9922524094581604,0
208,tweet,56.0,56.28,0.8456080555915833,0
209,you,56.28,56.5,0.14395275712013245,0
210,gon,56.5,56.74,0.8371031284332275,0
211,feel,56.86,57.04,0.16946586966514587,0
212,like,57.04,57.18,0.34020593762397766,0
213,you,57.18,57.36,0.09536266326904297,0
214,aint,57.36,57.5,0.9427490830421448,0
215,finished,57.5,57.74,3.4285309084225446e-05,0
216,reposic,57.74,58.66,0.009895740277935753,0
217,reposic,70.12,70.7,0.6562745334813371,0
218,the,71.78,72.36,0.0008757321629673243,0
219,agora,72.36,72.38,5.0782250582415145e-06,0
220,can,73.56,74.14,0.00010324494360247627,0
221,i,74.14,74.56,0.1116696149110794,0
222,call,74.56,74.9,0.0021219293121248484,0
223,my,74.9,75.1,0.05817311257123947,0
224,cell,75.1,75.24,0.00634666346013546,0
225,and,75.24,75.78,0.002750069834291935,0
226,then,75.78,76.22,0.062102846801280975,0
227,i,76.22,76.22,0.32122910022735596,0
228,get,76.22,76.22,0.02416822500526905,0
229,cost,76.22,76.56,1.7472155377618037e-05,0
230,always,76.56,76.96,3.906567144440487e-05,0
231,out,76.96,76.96,0.00035034053144045174,0
232,of,76.96,77.08,0.3019436001777649,0
233,my,77.08,77.08,0.19042494893074036,0
234,is,77.08,77.6,1.7621989172766916e-05,0
235,target,77.6,77.76,2.974261406052392e-07,0
236,of,77.76,77.92,0.0006276123458519578,0
237,them,77.92,78.44,0.002376886084675789,0
238,team,80.12,80.7,0.00019337984849698842,0
239,remiana,80.7,80.94,0.0007745641123619862,0
240,jesse,84.54,85.12,1.0278971785737667e-05,0
241,d,85.12,85.66,0.0010887577664107084,0
242,if,85.66,86.14,0.053396210074424744,0
243,you,86.14,86.24,0.29066842794418335,0
244,head,86.24,86.4,0.17382416129112244,0
245,girl,86.4,86.6,0.6498299241065979,0
246,a,86.6,86.76,0.30433714389801025,0
247,rap,86.76,87.0,0.708060622215271,0
248,break,87.0,87.2,0.85821133852005,0
249,she,87.5,87.56,0.8603540658950806,0
250,can,87.56,87.72,0.8441662192344666,0
251,stop,87.72,87.9,0.6700887680053711,0
252,thinking,87.9,88.12,0.7587538361549377,0
253,about,88.12,88.34,0.7935469150543213,0
254,me,88.34,88.6,0.8802276253700256,0
255,so,88.6,88.88,0.3220929503440857,0
256,travel,88.88,89.18,0.8479565978050232,0
257,up,89.18,89.44,0.9060519933700562,0
258,like,89.44,89.64,0.9672658443450928,0
259,a,89.64,89.82,0.9442688822746277,0
260,pin,89.82,89.96,0.49583300948143005,0
261,up,89.96,90.06,0.7125724405050278,0
262,trap,90.06,90.32,0.12789493799209595,0
263,go,90.54,90.68,0.264125257730484,0
264,ahead,90.68,90.94,0.5076901912689209,0
265,girl,90.94,91.18,0.8269873261451721,0
266,you,91.18,91.42,0.2646757960319519,0
267,dont,91.42,91.66,0.8300222456455231,0
268,think,91.66,91.82,0.855212390422821,0
269,so,91.82,92.0,0.9490719437599182,0
270,whats,92.0,92.36,0.6662054061889648,0
271,up,92.36,92.48,0.9950883984565735,0
272,with,92.48,92.64,0.6611946821212769,0
273,that,92.64,92.74,0.9627552628517151,0
274,whats,92.74,93.12,0.9016794264316559,0
275,up,93.12,93.32,0.9968656897544861,0
276,spitting,93.5,93.72,0.48944254219532013,0
277,fast,93.72,94.04,0.9340352416038513,0
278,like,94.04,94.28,0.9892123937606812,0
279,bust,94.28,94.62,0.5502935647964478,0
280,up,94.62,94.88,0.8286539316177368,0
281,if,95.1,95.22,0.6579411625862122,0
282,i,95.22,95.36,0.9586398601531982,0
283,need,95.36,95.58,0.9947987794876099,0
284,to,95.58,95.76,0.7257692813873291,0
285,trust,95.76,96.1,0.9872245788574219,0
286,it,96.1,96.34,0.769076943397522,0
287,feel,96.34,96.8,0.46816831827163696,0
288,like,96.8,97.16,0.9921499490737915,0
289,i,97.16,97.3,0.8359032869338989,0
290,love,97.3,97.6,0.9695267081260681,0
291,ya,97.6,97.8,0.6490031480789185,0
