,explicit_line,explicit_phrase,explicit_label
54,lakim shabazz 2pac nwa cube hey doc ren,[],0
55,yella eazy thank you they got slim,[],0
56,inspired enough to one day grow up blow up and be in a position,[],0
57,to meet rundmc and induct them,[],0
58,into the motherfucking rock and roll hall of fame,['motherfucking'],1
59,even though i'll walk in the church and burst in a ball of flames,[],0
60,only hall of fame i'll be inducted in is the alcohol of fame,[],0
61,on the wall of,[],0
62,shame,[],0
63,you fags think it's all a game 'til i walk a flock of flames,"['flames', 'fags', 'game', ""it's"", 'walk', 'all', 'flock', 'think', ""'til""]",1
64,off a plank and tell me what in the fuck are you thinkin',"['fuck', ""thinkin'"", 'tell', 'plank']",1
65,little gaylooking boy,[],0
66,so gay i can barely say it with a straight face looking boy haha,[],0
67,you're witnessing a massoccur,[],0
68,like you're watching a church gathering take place looking boy,[],0
69,oy vey that boy's gaythat's all they say looking boy,"[""gaythat's""]",1
70,you get a thumbs up pat on the back,[],0
71,and a way to go from your label every day looking boy,[],0
72,hey looking boy what you say looking boy,[],0
73,i get a hell yeah from dre looking boy,[],0
74,i'ma work for everything i have never asked nobody for shit,['shit'],1
75,get outta my face looking boy,[],0
76,basically boy you're never gonna be capable,[],0
77,of keeping up with the same pace looking boy 'cause,[],0
80,the way i'm racing around the track call me nascar nascar,[],0
81,dale earnhardt of the trailer park the white trash god,[],0
82,kneel before general zod,[],0
83,this planet's kryptonno asgard asgard,[],0
84,so you'll be thor and i'll be odin,[],0
85,you rodent i'm omnipotent,[],0
86,let off then i'm reloading,[],0
87,immediately with these bombs i'm toting,[],0
88,and i should not be woken,[],0
89,i'm the walking dead but i'm just a talking head a zombie floating,[],0
90,but i got your mom deepthroating,['deepthroating'],1
91,i'm out my ramen noodle,[],0
92,we have nothing in common poodle,[],0
93,i'm a doberman pinch yourself in the arm and pay homage pupil,[],0
94,it's me my honesty's brutal,[],0
95,but it's honestly futile if i don't utilize what i do though,[],0
96,for good at least once in a while,[],0
97,so i wanna make sure somewhere in this chicken scratch i scribble and doodle enough rhymes,[],0
98,to maybe try to help get some people through tough times,[],0
99,but i gotta keep a few punchlines,[],0
100,just in case 'cause even you unsigned,[],0
101,rappers are hungry looking at me like it's lunchtime,[],0
102,i know there was a time where once i,[],0
103,was king of the underground,[],0
104,but i still rap like i'm on my pharoahe monch grind,[],0
105,so i crunch rhymes but sometimes when you combine,[],0
106,appeal with the skin color of mine,[],0
107,you get too big and here they come trying,[],0
108,to censor you like that one line,[],0
109,i said on i'm back from,[],0
110,the mathers lp 1,[],0
111,when i,[],0
112,tried to say i'll take seven kids from columbine,"['columbine', ""i'll"", 'kids', 'tried', 'take', 'seven', 'say']",1
113,put 'em all in a line add an ak47 a revolver and a 9,"['9', 'line', ""'em"", 'ak47', 'add', 'all', 'revolver', 'put']",1
114,see if i get away with it now that i ain't as big as i was but i'm,[],0
115,morphing into an immortal coming through the portal,[],0
116,you're stuck in a time warp from 2004 though,[],0
117,and i don't know what the fuck that you rhyme for,['fuck'],1
118,you're pointless as rapunzel with fucking cornrows,['fucking'],1
119,you write normal fuck being normal,['fuck'],1
120,and i just bought a new raygun from the future,[],0
121,just to come and shoot ya like when fabolous made ray j mad,[],0
122,'cause fab said he looked like a fag at mayweather's pad,['fag'],1
123,singing to a man while he played piano,[],0
124,man oh man that was a 247 special on the cable channel,[],0
125,so ray j went straight to the radio station,[],0
126,the very next day hey fab i'ma kill you,[],0
127,lyrics coming at you at supersonic speed,[],0
128,jj fad,[],0
130,uh summalumma doomalumma you assuming i'm a human,[],0
131,what i gotta do to get it through to you i'm superhuman,[],0
132,innovative and i'm made of rubber so that anything you say is ricocheting off of me and it'll glue to you and,[],0
133,i'm devastating more than ever demonstrating,[],0
134,how to give a motherfucking audience a feeling like it's levitating,['motherfucking'],1
135,never fading and i know the haters are forever waiting,[],0
136,for the day that they can say i fell off they'll be celebrating,[],0
137,'cause i know the way to get 'em motivated,[],0
138,i make elevating music you make elevator music,[],0
139,oh he's too mainstream,[],0
140,well that's what they do when they get jealous they confuse it,[],0
141,it's not hiphop it's pop'cause i found a hella way to fuse it,[],0
142,with rock shock rap with doc,[],0
143,throw on lose yourself and make 'em lose it,[],0
144,i don't know how to make songs like that,[],0
145,i don't know what words to use,[],0
146,let me know when it occurs to you,[],0
147,while i'm ripping any one of these verses that versus you,[],0
148,it's curtains i'm inadvertently hurting you,[],0
149,how many verses i gotta murder to,[],0
150,prove that if you were half as nice your songs you could sacrifice virgins too,[],0
151,ugh school flunky pill junkie,[],0
152,but look at the accolades these skills brung me,[],0
153,full of myself but still hungry,[],0
154,i bully myself 'cause i make me do what i put my mind to,[],0
155,and i'm a million leagues above you,[],0
156,ill when i speak in tongues but it's still tongueincheek fuck you,['fuck'],1
157,i'm drunk so satan take the fucking wheel,['fucking'],1
158,i'ma sleep in the front seat,[],0
159,bumping heavy d and the boyz still chunky but funky,[],0
160,but in my head there's something i can feel tugging and struggling,[],0
161,angels fight with devils and here's what they want from me,[],0
162,they're asking me to eliminate some of the women hate,[],0
163,but if you take into consideration the bitter hatred,[],0
164,i have then you may be a little patient,[],0
165,and more sympathetic to the situation,[],0
166,and understand the discrimination,[],0
167,but fuck it life's handing you lemons make lemonade then,['fuck'],1
168,but if i can't batter the women,[],0
169,how the fuck am i supposed to bake 'em a cake then,"['fuck', ""'em""]",1
170,don't mistake him for,[],0
171,satan,['satan'],1
172,it's a fatal mistake if you think i need to be overseas and take a vacation,[],0
173,to trip a broad and make her fall on her face and,[],0
174,don't be a retard be a king think not,['retard'],1
175,why be a king when you can be a god,[],0
176,obie trice real name no gimmicks,[],0
177,ra,[],0
178,two trailerpark girls go round the outside,[],0
179,round the outside round the outside,[],0
182,woo ooh ooh,[],0
185,guess who's back back again,[],0
186,shady's back tell a friend,[],0
187,guess who's back guess who's back,[],0
190,guess who's back,[],0
191,nanana na na na na na na,[],0
192,nanana na na na na,[],0
193,i've created a monster,[],0
194,'cause nobody wants to see marshall no more they want shady i'm chopped liver,[],0
195,well if you want shady this is what i'll give ya,[],0
196,a little bit of weed mixed with some hard liquor,"['weed', 'hard', 'mixed', 'liquor', 'little', 'bit']",1
197,some vodka that'll jumpstart my heart quicker,"['vodka', 'jumpstart', 'heart', ""that'll"", 'quicker']",1
198,than a shock when i get shocked at the hospital,[],0
199,by the doctor when i'm not cooperating,[],0
200,when i'm rocking the table while he's operating hey,[],0
201,you waited this long now stop debating,[],0
202,'cause i'm back i'm on the rag and ovulating,[],0
203,i know that you got a job ms cheney,[],0
204,but your husband's heart problem's complicating,[],0
205,so the fcc won't let me be,[],0
206,or let me be me so let me see,[],0
207,they tried to shut me down on mtv,[],0
208,but it feels so empty without me,[],0
209,so come on and dip bum on your lips,"['lips', 'bum']",1
210,fuck that cum on your lips and some on your tits,"['fuck', 'tits', 'cum', 'lips']",1
211,and get ready 'cause this shit's about to get heavy,"[""shit's""]",1
212,i just settled all my lawsuits fuck you debbie,['fuck'],1
213,now this looks like a job for me,[],0
214,so everybody just follow me,[],0
216,'cause we need a little controversy,[],0
217,'cause it feels so empty without me,[],0
218,i said this looks like a job for me,[],0
222,little hellions kids feeling rebellious,[],0
224,embarrassed their parents still listen to elvis,[],0
225,they start feeling like prisoners helpless,[],0
226,'til someone comes along on a mission and yells bitch,['bitch'],1
227,a visionary vision is scary,[],0
228,could start a revolution polluting the airwaves,[],0
229,a rebel so just let me revel and bask,[],0
230,in the fact that i got everyone kissing my ass,['ass'],1
231,and it's a disaster such a catastrophe,[],0
232,for you to see so damn much of my ass you asked for me,"['ass', 'asked']",1
233,well i'm back dananana nananananana,[],0
234,fix your bent antenna tune it in and then i'm gonna,[],0
235,enter in and up under your skin like a splinter,[],0
236,the center of attention back for the winter,[],0
237,i'm interesting the best thing since wrestling,[],0
238,infesting in your kid's ears and nesting,[],0
239,testing attention please,[],0
240,feel the tension soon as someone mentions me,[],0
241,here's my ten cents my two cents is free,[],0
242,a nuisance who sent you sent for me,[],0
252,a tisket a tasket i'll go titfortat wit',[],0
253,anybody who's talkin' this shit that shit,"[""who's"", 'shit', ""talkin'"", 'anybody']",1
254,chris kirkpatrick you can get your ass kicked,"['get', 'ass', 'kirkpatrick', 'chris', 'kicked']",1
255,worse than them little limp bizkit bastards,['bastards'],1
257,and moby you can get stomped by obie,[],0
258,you thirtysixyearold baldheaded fag blow me,"['blow', 'baldheaded', 'thirtysixyearold', 'fag']",1
259,you don't know me you're too old let go,[],0
260,it's over nobody listens to techno,[],0
261,now let's go just give me the signal,[],0
262,i'll be there with a whole list full of new insults,[],0
263,i've been dope suspenseful with a pencil,[],0
264,ever since prince turned himself into a symbol,[],0
265,but sometimes the shit just seems,['shit'],1
266,everybody only wants to discuss me,[],0
267,so this must mean i'm disgusting,[],0
268,but it's just me i'm just obscene yeah,[],0
269,though i'm not the first king of controversy,[],0
270,i am the worst thing since elvis presley,[],0
271,to do black music so selfishly,[],0
272,and use it to get myself wealthy hey,[],0
273,there's a concept that works,[],0
274,twenty million other white rappers emerge,[],0
275,but no matter how many fish in the sea,[],0
276,it'd be so empty without me,[],0
286,hum deidei lala,[],0
287,lala lalala,[],0
289,lala lala,[],0
295,kids,[],0
296,may i have your attention please,[],0
298,will the real slim shady please stand up,[],0
299,i repeat,[],0
301,we're gonna have a problem here,[],0
302,y'all act like you never seen a white person before,[],0
303,jaws all on the floor like pam like tommy just burst in the door,[],0
304,and started whooping her ass worse than before,[],0
305,they first were divorced throwing her over furniture agh,[],0
306,it's the return of the oh wait no way you're kidding,[],0
309,he didn't just say what i think he did did he,[],0
310,and dr dre said,[],0
311,nothing you idiots dr dre's dead he's locked in my basement haha,"['nothing', 'idiots']",1
312,feminist women love eminem,[],0
313,chickachickachicka slim shady i'm sick of him,['chickachickachicka'],1
314,look at him walking around grabbing his youknowwhat,[],0
315,flipping the youknowwho yeah but he's so cute though,[],0
316,yeah i probably got a couple of screws up in my head loose,[],0
317,but no worse than what's going on in your parents' bedrooms,['bedrooms'],1
318,sometimes i wanna get on tv and just let loose,[],0
319,but can't but it's cool for tom green to hump a dead moose,"['hump', 'a', 'dead', 'moose']",1
320,my bum is on your lips my bum is on your lips,[],0
321,and if i'm lucky you might just give it a little kiss,[],0
322,and that's the message that we deliver to little kids,[],0
323,and expect them not to know what a woman's clitoris is,"[""woman's"", 'clitoris']",1
324,of course they're gonna know what intercourse is,[],0
325,by the time they hit fourth grade they've got the,[],0
326,discovery channel,[],0
327,don't they,[],0
328,we ain't nothing but mammals,[],0
329,well some of us cannibals who cut other people open like cantaloupes,"['cannibals', 'well', 'cut', 'us']",1
330,but if we can hump dead animals and antelopes,[],0
331,then there's no reason that a man and another man can't elope,[],0
332,but if you feel like i feel i got the antidote,[],0
333,women wave your pantyhose sing the chorus and it goes,[],0
334,i'm slim shady yes i'm the real shady,[],0
335,all you other slim shadys are just imitating,[],0
336,so won't the real slim shady please stand up,[],0
337,please stand up please stand up,[],0
338,'cause i'm slim shady yes i'm the real shady,[],0
342,will smith don't gotta cuss in his raps to sell records nope,[],0
343,well i do so fuck him and fuck you too,"['fuck', 'well']",1
344,you think i give a damn about a grammy,"['about', 'grammy', 'give', 'damn', 'think']",1
345,half of you critics can't even stomach me let alone stand me,[],0
346,but slim what if you win wouldn't it be weird,[],0
347,why so you guys could just lie to get me here,[],0
348,so you can sit me here next to britney spears,[],0
349,yo shit christina aguilera better switch me chairs,"['better', 'shit', 'switch', 'christina', 'aguilera', 'chairs']",1
350,so i can sit next to carson daly and fred durst,[],0
351,and hear 'em argue over who she gave head to first,[],0
352,little bitch put me on blast on mtv,"['mtv', 'blast', 'bitch', 'little', 'put']",1
353,yeah he's cute but i think he's married to kim heehee,[],0
354,i should download her audio on mp3,[],0
355,and show the whole world how you gave eminem vd agh,[],0
356,i'm sick of you little girl and boy groups all you do is annoy me,[],0
357,so i have been sent here to destroy you,[],0
358,and there's a million of us just like me,[],0
359,who cuss like me who just don't give a fuck like me,"['like', 'cuss', 'fuck', 'give', ""don't"", 'just']",1
360,who dress like me walk talk and act like me,[],0
361,and just might be the next best thing but not quite me,[],0
370,i'm like a head trip to listen to,[],0
371,'cause i'm only giving you things you joke about with your friends inside your living room,[],0
372,the only difference is i got the balls to say it in front of y'all,"['difference', 'front', ""y'all"", 'balls', 'got', 'say']",1
373,and i don't gotta be false or sugarcoat it at all,[],0
402,i just get on the mic and spit it,[],0
403,and whether you like to admit it err i just shit it,"['shit', 'err']",1
404,better than ninety percent of you rappers out can,[],0
405,then you wonder how can kids eat up these albums like valiums,['valiums'],1
406,it's funny 'cause at the rate i'm goin' when i'm thirty,[],0
407,i'll be the only person in the nursing home flirting,[],0
408,pinching nurse's asses when i'm jacking off with jergens,"[""nurse's"", 'jacking', ""i'm"", 'jergens', 'pinching', 'asses']",1
409,and i'm jerking but this whole bag of viagra isn't working,"[""isn't"", 'whole', ""i'm"", 'jerking', 'viagra', 'bag']",1
410,and every single person is a slim shady lurking,[],0
411,he could be working at burger king spitting on your onion rings ch puh,[],0
412,or in the parking lot circling screaming i don't give a fuck,"['parking', 'fuck', 'give', 'screaming', 'circling', ""don't"", 'lot']",1
413,with his windows down and his system up,[],0
414,so will the real shady please stand up,[],0
415,and put one of those fingers on each hand up,[],0
416,and be proud to be out of your mind and out of control,[],0
417,and one more time loud as you can how does it go,[],0
434,haha,[],0
435,i guess there's a slim shady in all of us,[],0
436,fuck it let's all stand up,"['fuck', ""let's"", 'all', 'stand']",1
437,my tea's gone cold i'm wondering why i,[],0
438,got out of bed at all,[],0
439,the morning rain clouds up my window window,[],0
440,and i can't see at all,[],0
441,and even if i could it'd all be grey,[],0
442,but your picture on my wall,[],0
443,it reminds me that it's not so bad it's not so bad bad,[],0
451,dear slim i wrote you but you still ain't calling,[],0
452,i left my cell my pager and my home phone at the bottom,[],0
453,i sent two letters back in autumn you must not've got 'em,[],0
454,there probably was a problem at the post office or something,[],0
455,sometimes i scribble addresses too sloppy when i jot 'em,[],0
456,but anyways fuck it what's been up man how's your daughter,['fuck'],1
457,my girlfriend's pregnant too i'm 'bout to be a father,[],0
458,if i have a daughter guess what i'ma call her i'ma name her bonnie,[],0
460,i read about your uncle ronnie too i'm sorry,[],0
461,i had a friend kill himself over some bitch who didn't want him,"['bitch', 'kill']",1
462,i know you probably hear this every day but i'm your biggest fan,[],0
463,i even got the underground shit that you did with skam,['shit'],1
464,i got a room full of your posters and your pictures man,[],0
465,i like the shit you did with rawkus too that shit was phat,['shit'],1
466,anyways i hope you get this man hit me back,[],0
467,just to chat truly yours your biggest fan this is stan,[],0
475,dear slim you still ain't called or wrote i hope you have a chance,[],0
476,i ain't mad i just think it's fucked up you don't answer fans,['fucked'],1
477,if you didn't want to talk to me outside your concert you didn't have to,[],0
478,but you coulda signed an autograph for matthew,[],0
479,that's my little brother man he's only six years old,[],0
480,we waited in the blistering cold for you for four hours and you just said no,[],0
481,that's pretty shitty man you're like his fucking idol,"['fucking', 'idol', 'like', ""you're"", ""that's"", 'man', 'shitty', 'pretty']",1
483,he wants to be just like you man he likes you more than i do,[],0
484,i ain't that mad though i just don't like being lied to,[],0
485,remember when we met in denver you said if i'd write you you would write back,[],0
487,see i'm just like you in a way i never knew my father neither,[],0
488,he used to always cheat on my mom and beat her,[],0
489,i can relate to what you're saying in your songs,[],0
490,so when i have a shitty day i drift away and put 'em on,['shitty'],1
491,'cause i don't really got shit else so that shit helps when i'm depressed,"[""i'm"", 'shit', 'depressed', 'helps']",1
493,i even got a tattoo with your name across the chest,[],0
494,sometimes i even cut myself to see how much it bleeds,"['bleeds', 'cut', 'even']",1
495,it's like adrenaline the pain is such a sudden rush for me,[],0
496,see everything you say is real and i respect you 'cause you tell it,[],0
497,my girlfriend's jealous 'cause i talk about you 247,[],0
498,but she don't know you like i know you slim no one does,[],0
499,she don't know what it was like for people like us growing up,[],0
500,you gotta call me man i'll be the biggest fan you'll ever lose,[],0
501,sincerely yours stan ps we should be together too,[],0
509,dear mr i'm too good to call or write my fans,[],0
510,this'll be the last package i ever send your ass,['ass'],1
511,it's been six months and still no word i don't deserve it,[],0
512,i know you got my last two letters i wrote the addresses on 'em perfect,[],0
513,so this is my cassette i'm sending you i hope you hear it,[],0
514,i'm in the car right now i'm doing ninety on the freeway,[],0
515,hey slim i drank a fifth of vodka you dare me to drive,"['vodka', 'fifth']",1
516,you know the song by phil collins in the air of the night,[],0
517,about that guy who coulda saved that other guy from drowning,[],0
518,but didn't then phil saw it all then at a show he found him,[],0
519,that's kinda how this is you coulda rescued me from drowning,[],0
520,now it's too late i'm on a thousand downers now i'm drowsy,['downers'],1
521,and all i wanted was a lousy letter or a call,[],0
522,i hope you know i ripped all of your pictures off the wall,[],0
523,i loved you slim we coulda been together think about it,[],0
524,you ruined it now i hope you can't sleep and you dream about it,[],0
525,and when you dream i hope you can't sleep and you scream about it,[],0
526,i hope your conscience eats at you and you can't breathe without me,[],0
527,see slim shut up bitch i'm tryna talk,"['bitch', 'slim', 'shut', 'tryna']",1
528,hey slim that's my girlfriend screaming in the trunk,['trunk'],1
529,but i didn't slit her throat i just tied her up see i ain't like you,"['slit', 'tied', 'throat']",1
530,'cause if she suffocates she'll suffer more and then she'll die too,"['die', 'suffocates']",1
531,well gotta go i'm almost at the bridge now,[],0
532,oh shit i forgot how am i supposed to send this shit out,"['shit', 'forgot']",1
540,dear stan i meant to write you sooner but i just been busy,[],0
541,you said your girlfriend's pregnant now how far along is she,[],0
542,look i'm really flattered you would call your daughter that,[],0
543,and here's an autograph for your brother i wrote it on a starter cap,[],0
544,i'm sorry i didn't see you at the show i must've missed you,[],0
545,don't think i did that shit intentionally just to diss you,['shit'],1
546,but what's this shit you said about you like to cut your wrists too,"['wrists', 'shit', 'cut']",1
547,i say that shit just clownin' dawg come on how fucked up is you,"['fucked', 'shit']",1
548,you got some issues stan i think you need some counseling,[],0
549,to help your ass from bouncing off the walls when you get down some,['ass'],1
550,and what's this shit about us meant to be together,['shit'],1
551,that type of shit'll make me not want us to meet each other,"[""shit'll""]",1
552,i really think you and your girlfriend need each other,[],0
553,or maybe you just need to treat her better,[],0
554,i hope you get to read this letter i just hope it reaches you in time,[],0
555,before you hurt yourself i think that you'll be doing just fine,[],0
556,if you relax a little i'm glad i inspire you but stan,[],0
557,why are you so mad try to understand that i do want you as a fan,[],0
558,i just don't want you to do some crazy shit,['shit'],1
559,i seen this one shit on the news a couple weeks ago that made me sick,['shit'],1
560,some dude was drunk and drove his car over a bridge,[],0
561,and had his girlfriend in the trunk and she was pregnant with his kid,['trunk'],1
562,and in the car they found a tape but they didn't say who it was to,[],0
563,come to think about it his name was it was you,[],0
564,damn,[],0
565,mhm,[],0
566,you high baby,[],0
567,yeah hahahaha,[],0
568,yeah,[],0
569,talk to me,[],0
570,you want me to tell you something,[],0
571,uhhuh,[],0
572,i know what you wanna hear,[],0
573,i know you want me baby i think i want you too,[],0
574,i think i love you baby i think i love you too ohooh,[],0
575,i'm here to save you girl come be in shady's world oohooh ooh,[],0
576,i wanna grow together let's let our love unfurl,[],0
577,you know you want me baby you know i want you too,[],0
578,they call me superman i'm here to rescue you,[],0
579,i wanna save you girl come be in shady's world oohooh,[],0
580,oh boy you drive me crazy bitch you make me hurl,['bitch'],1
581,they call me superman,[],0
582,leap tall hoes in a single bound,['hoes'],1
583,i'm single now got no ring on this finger now,[],0
584,i'd never let another chick bring me down,[],0
585,in a relationship save it bitch,['bitch'],1
586,babysit you make me sick,[],0
587,superman ain't saving shit,['shit'],1
588,girl you can jump on shady's dick,[],0
589,straight from the hip cut to the chase,[],0
590,i tell a muhfucking slut to her face,"['muhfucking', 'slut']",1
591,play no games say no names,[],0
592,ever since i broke up with what'sherface,[],0
593,i'm a different man kiss my ass,[],0
594,kiss my lips bitch why ask,['bitch'],1
595,kiss my dick get my cash,['dick'],1
596,i'd rather have you whip my ass,[],0
597,don't put out i'll put you out,[],0
598,won't get out i'll push you out,[],0
599,puss blew out popping shit,['puss'],1
600,wouldn't piss on fire to put you out,[],0
601,am i too nice buy you ice,[],0
602,bitch if you died wouldn't buy you life,['bitch'],1
603,what you trying to be my new wife,[],0
604,what you mariah fly through twice,[],0
605,but i do know one thing though,[],0
606,bitches they come they go,['bitches'],1
607,saturday through sunday monday,[],0
608,yeahyeah,[],0
610,monday through sunday yo,[],0
611,maybe i'll love you one day,[],0
612,maybe we'll someday grow,[],0
613,'til then just sit your drunk ass on that fucking runway ho,['fucking'],1
614,'cause i can't be your superman can't be your superman,[],0
615,can't be your superman can't be your superman,[],0
616,i can't be your superman can't be your superman,[],0
617,can't be your superman your superman your superman,[],0
618,don't get me wrong i love these hoes,['hoes'],1
619,it's no secret everybody knows,[],0
620,yeah we fucked bitch so what,['bitch'],1
621,that's about as far as your body goes,[],0
622,we'll be friends i'll call you again,[],0
623,i'll chase you around every bar you attend,[],0
624,never know what kinda car i'll be in,[],0
625,we'll see how much you'll be partying then,[],0
626,you don't want that neither do i,[],0
627,i don't wanna flip when i see you with guys,[],0
628,too much pride between you and i,[],0
629,not a jealous man but females lie,[],0
630,but i guess that's just what sluts do,['sluts'],1
631,how could it ever be just us two,[],0
632,i'd never love you enough to trust you,[],0
633,we just met and i just fucked you,[],0
650,i think i love you baby i think i love you too,[],0
651,i'm here to save you girl come be in shady's world,[],0
655,i wanna save you girl come be in shady's world,[],0
657,first thing you say,[],0
658,i'm not fazed i hang around big stars all day,[],0
659,i don't see what the big deal is anyway,[],0
660,you're just plain old marshall to me,[],0
661,ooh yeah girl run that game,[],0
662,hailie jade i love that name,[],0
663,love that tattoo what's that say,[],0
664,'rot in pieces' uh that's great,[],0
665,first off you don't know marshall,[],0
666,at all so don't grow partial,[],0
667,that's ammo for my arsenal,[],0
668,i'll slap you off that bar stool,['slap'],1
669,there goes another lawsuit,[],0
670,leave handprints all across you,['handprints'],1
671,good lordy whoadie,[],0
672,you must be gone off that water bottle,[],0
673,you want what you can't have,[],0
674,ooh girl that's too damn bad,[],0
675,don't touch what you can't grab,[],0
676,end up with two backhands,[],0
677,put anthrax on a tampax,[],0
678,and slap you 'til you can't stand,[],0
679,girl you just blew your chance,[],0
680,don't mean to ruin your plans,[],0
696,refrain eminem,[],0
697,dina rae,[],0
715,lately i've been hard to reach,[],0
716,i've been too long on my own,[],0
717,everybody has a private world where they can be alone,[],0
718,are you calling me,[],0
719,are you trying to get through,[],0
720,are you reaching out for me,[],0
721,i'm reaching out for you,[],0
722,i'm just so fucking depressed,['fucking'],1
723,i just can't seem to get out this slump,[],0
724,if i could just get over this hump,[],0
725,but i need something to pull me out this dump,[],0
726,i took my bruises took my lumps,[],0
727,fell down then i got right back up,[],0
728,but i need that spark to get psyched back up,[],0
729,in order for me to pick the mic back up,[],0
730,i don't know how or why or when,[],0
731,i ended up in this position i'm in,[],0
732,i'm starting to feel distant again,[],0
733,so i decided just to pick this pen,[],0
734,up and try to make an attempt,[],0
735,to vent but i just can't admit,[],0
736,or come to grips with the fact that,[],0
737,i may be done with rap i need a new outlet,[],0
738,and i know some shit's so hard to swallow,"[""shit's""]",1
739,but i just can't sit back and wallow,[],0
740,in my own sorrow but i know one fact,[],0
741,i'll be one tough act to follow,[],0
742,one tough act to follow,[],0
744,here today gone tomorrow,[],0
745,but you'd have to walk a thousand miles,[],0
746,in my shoes just to see,[],0
747,what it's like to be me,[],0
748,i'll be you let's trade shoes,[],0
749,just to see what it'd be like to,[],0
750,feel your pain you feel mine,[],0
751,go inside each other's minds,[],0
752,just to see what we find,[],0
753,look at shit through each other's eyes,['shit'],1
754,but don't let 'em say you ain't beautiful oh,[],0
755,they can all get fucked just stay true to you so,['fucked'],1
756,don't let 'em say you ain't beautiful oh,[],0
758,i think i'm starting to lose my sense of humor,[],0
759,everything's so tense and gloom,[],0
760,i almost feel like i gotta check the temperature,[],0
761,of the room just as soon as,[],0
762,i walk in it's like all eyes on me,[],0
763,so i try to avoid any eye contact,[],0
764,'cause if i do that then it opens a door,[],0
765,for conversation like i want that,[],0
766,i'm not looking for extra attention,[],0
767,i just wanna be just like you,[],0
768,blend in with the rest of the room,[],0
769,maybe just point me to the closest restroom,[],0
770,i don't need no fucking man servant,['fucking'],1
771,tryna follow me around and wipe my ass,['ass'],1
772,laugh at every single joke i crack,[],0
773,and half of 'em ain't even funny like ha,[],0
774,marshall you're so funny man,[],0
775,you should be a comedian goddamn,['goddamn'],1
776,unfortunately i am i just hide behind the tears of a clown,[],0
778,so why don't you all sit down,[],0
779,listen to the tale i'm about to tell,[],0
780,hell we don't gotta trade our shoes,[],0
781,and you ain't gotta walk no thousand miles,[],0
794,nobody asked for life to deal us,[],0
795,with these bullshit hands we're dealt,"['bullshit', 'dealt', 'hands', ""we're""]",1
796,we gotta take these cards ourselves,[],0
797,and flip 'em don't expect no help,[],0
798,now i could've either just sat,[],0
799,on my ass and pissed and moaned,"['pissed', 'ass', 'moaned']",1
800,or take this situation in which i'm placed in,[],0
801,and get up and get my own,[],0
802,i was never the type of kid,[],0
803,to wait by the door and pack his bags,[],0
804,and sat on the porch and hoped and prayed,[],0
805,for a dad to show up who never did,[],0
806,i just wanted to fit in,[],0
807,in every single place every school i went,[],0
808,i dreamed of being that cool kid,[],0
809,even if it meant acting stupid,"['acting', 'meant', 'stupid', 'even']",1
810,aunt edna always told me,[],0
811,keep making that face it'll get stuck like that,[],0
812,meanwhile i'm just standing there,[],0
813,holding my tongue trying to talk like this,[],0
814,'til i stuck my tongue on that frozen,[],0
815,stop sign pole at eightyearsold,[],0
816,i learned my lesson then 'cause i wasn't,[],0
