words,start,end,transcript,WER,filename
when you only got a hundrd years to live,223.399,228.491,"[{'word': 'when', 'start': 0.0, 'end': 0.124}, {'word': 'you', 'start': 0.249, 'end': 0.373}, {'word': 'only', 'start': 0.373, 'end': 0.994}, {'word': 'got', 'start': 1.118, 'end': 1.242}, {'word': 'a', 'start': 1.615, 'end': 2.236}, {'word': 'hundrd', 'start': 2.36, 'end': 2.981}, {'word': 'years', 'start': 3.105, 'end': 3.726}, {'word': 'to', 'start': 3.974, 'end': 4.098}, {'word': 'live', 'start': 4.223, 'end': 5.092}]",0.0,0091064bdc72469ca7096d3a0db74562-46.wav
till we all get off,17.295,20.875,"[{'word': 'till', 'start': 0.0, 'end': 0.22}, {'word': 'we', 'start': 0.366, 'end': 0.585}, {'word': 'all', 'start': 0.804, 'end': 1.534}, {'word': 'get', 'start': 1.973, 'end': 2.557}, {'word': 'off', 'start': 2.703, 'end': 3.58}]",0.0,00d5c65d644c4a549e7d501d65397b7b-1.wav
you away with me,26.28,30.517,"[{'word': 'you', 'start': 0.0, 'end': 0.219}, {'word': 'away', 'start': 0.365, 'end': 2.045}, {'word': 'with', 'start': 2.703, 'end': 3.068}, {'word': 'me', 'start': 3.506, 'end': 4.237}]",0.0,00d5c65d644c4a549e7d501d65397b7b-3.wav
diamonds rain across the sky,37.602,41.182,"[{'word': 'diamonds', 'start': 0.0, 'end': 0.731}, {'word': 'rain', 'start': 1.096, 'end': 1.534}, {'word': 'across', 'start': 1.68, 'end': 2.484}, {'word': 'the', 'start': 2.703, 'end': 2.922}, {'word': 'sky', 'start': 3.068, 'end': 3.58}]",0.0,00d5c65d644c4a549e7d501d65397b7b-6.wav
calculate,50.02,51.335,"[{'word': 'calculate', 'start': 0.0, 'end': 1.315}]",0.0,00d5c65d644c4a549e7d501d65397b7b-8.wav
and run away,58.566,60.466,"[{'word': 'and', 'start': 0.0, 'end': 0.22}, {'word': 'run', 'start': 0.439, 'end': 0.658}, {'word': 'away', 'start': 0.804, 'end': 1.9}]",0.0,00d5c65d644c4a549e7d501d65397b7b-11.wav
outer space with me,61.342,65.214,"[{'word': 'outer', 'start': 0.0, 'end': 0.585}, {'word': 'space', 'start': 0.804, 'end': 1.68}, {'word': 'with', 'start': 2.703, 'end': 2.995}, {'word': 'me', 'start': 3.506, 'end': 3.872}]",0.0,00d5c65d644c4a549e7d501d65397b7b-12.wav
once and for all,66.017,68.136,"[{'word': 'once', 'start': 0.0, 'end': 0.219}, {'word': 'and', 'start': 0.365, 'end': 0.585}, {'word': 'for', 'start': 0.731, 'end': 1.023}, {'word': 'all', 'start': 1.169, 'end': 2.119}]",0.0,00d5c65d644c4a549e7d501d65397b7b-13.wav
diamonds rain across the sky,72.664,76.244,"[{'word': 'diamonds', 'start': 0.0, 'end': 0.731}, {'word': 'rain', 'start': 1.096, 'end': 1.534}, {'word': 'across', 'start': 1.68, 'end': 2.484}, {'word': 'the', 'start': 2.703, 'end': 2.922}, {'word': 'sky', 'start': 3.068, 'end': 3.58}]",0.0,00d5c65d644c4a549e7d501d65397b7b-15.wav
shower me into the same realm,76.901,83.11,"[{'word': 'shower', 'start': 0.0, 'end': 0.877}, {'word': 'me', 'start': 1.169, 'end': 1.461}, {'word': 'into', 'start': 1.753, 'end': 2.63}, {'word': 'the', 'start': 2.703, 'end': 2.922}, {'word': 'same', 'start': 3.141, 'end': 3.652}, {'word': 'realm', 'start': 4.31, 'end': 6.209}]",0.0,00d5c65d644c4a549e7d501d65397b7b-16.wav
time will see us realign,85.52,89.173,"[{'word': 'time', 'start': 0.0, 'end': 0.439}, {'word': 'will', 'start': 0.585, 'end': 0.877}, {'word': 'see', 'start': 1.169, 'end': 1.607}, {'word': 'us', 'start': 1.754, 'end': 2.046}, {'word': 'realign', 'start': 2.338, 'end': 3.653}]",0.0,00d5c65d644c4a549e7d501d65397b7b-17.wav
once and for all,129.859,131.978,"[{'word': 'once', 'start': 0.0, 'end': 0.293}, {'word': 'and', 'start': 0.439, 'end': 0.658}, {'word': 'for', 'start': 0.877, 'end': 1.096}, {'word': 'all', 'start': 1.242, 'end': 2.119}]",0.0,00d5c65d644c4a549e7d501d65397b7b-25.wav
i will lead us to the same realm,157.982,164.045,"[{'word': 'i', 'start': 0.0, 'end': 0.438}, {'word': 'will', 'start': 0.584, 'end': 0.877}, {'word': 'lead', 'start': 1.169, 'end': 1.607}, {'word': 'us', 'start': 1.753, 'end': 2.191}, {'word': 'to', 'start': 2.338, 'end': 2.63}, {'word': 'the', 'start': 2.703, 'end': 2.922}, {'word': 'same', 'start': 3.141, 'end': 3.652}, {'word': 'realm', 'start': 4.237, 'end': 6.063}]",0.0,00d5c65d644c4a549e7d501d65397b7b-30.wav
and you are not me,15.134,17.459,"[{'word': 'and', 'start': 0.0, 'end': 0.15}, {'word': 'you', 'start': 0.3, 'end': 0.6}, {'word': 'are', 'start': 0.75, 'end': 0.975}, {'word': 'not', 'start': 1.2, 'end': 1.5}, {'word': 'me', 'start': 1.725, 'end': 2.325}]",0.0,00dae9818fe74c15897e4e7c52e75294-2.wav
the lengths that i will go to,18.209,21.059,"[{'word': 'the', 'start': 0.0, 'end': 0.15}, {'word': 'lengths', 'start': 0.225, 'end': 0.6}, {'word': 'that', 'start': 0.75, 'end': 1.125}, {'word': 'i', 'start': 1.275, 'end': 1.575}, {'word': 'will', 'start': 1.725, 'end': 1.875}, {'word': 'go', 'start': 1.95, 'end': 2.25}, {'word': 'to', 'start': 2.475, 'end': 2.85}]",0.0,00dae9818fe74c15897e4e7c52e75294-3.wav
the distance in your eyes,22.034,24.884,"[{'word': 'the', 'start': 0.0, 'end': 0.15}, {'word': 'distance', 'start': 0.3, 'end': 0.9}, {'word': 'in', 'start': 1.05, 'end': 1.35}, {'word': 'your', 'start': 1.725, 'end': 1.875}, {'word': 'eyes', 'start': 1.95, 'end': 2.85}]",0.0,00dae9818fe74c15897e4e7c52e75294-4.wav
trying to keep up with you,42.059,45.659,"[{'word': 'trying', 'start': 0.0, 'end': 0.9}, {'word': 'to', 'start': 0.975, 'end': 1.125}, {'word': 'keep', 'start': 1.2, 'end': 1.65}, {'word': 'up', 'start': 2.175, 'end': 2.625}, {'word': 'with', 'start': 2.925, 'end': 3.075}, {'word': 'you', 'start': 3.15, 'end': 3.6}]",0.0,00dae9818fe74c15897e4e7c52e75294-9.wav
every whisper,76.934,78.434,"[{'word': 'every', 'start': 0.0, 'end': 0.675}, {'word': 'whisper', 'start': 0.75, 'end': 1.5}]",0.0,00dae9818fe74c15897e4e7c52e75294-16.wav
every waking hour,79.859,82.184,"[{'word': 'every', 'start': 0.0, 'end': 0.675}, {'word': 'waking', 'start': 0.975, 'end': 1.575}, {'word': 'hour', 'start': 1.65, 'end': 2.325}]",0.0,00dae9818fe74c15897e4e7c52e75294-17.wav
trying to keep eye on you,88.109,91.634,"[{'word': 'trying', 'start': 0.0, 'end': 0.75}, {'word': 'to', 'start': 0.9, 'end': 1.05}, {'word': 'keep', 'start': 1.125, 'end': 1.575}, {'word': 'eye', 'start': 2.025, 'end': 2.475}, {'word': 'on', 'start': 2.625, 'end': 2.85}, {'word': 'you', 'start': 3.0, 'end': 3.525}]",0.0,00dae9818fe74c15897e4e7c52e75294-19.wav
i thought that i heard you laughing,106.259,109.184,"[{'word': 'i', 'start': 0.0, 'end': 0.15}, {'word': 'thought', 'start': 0.3, 'end': 0.525}, {'word': 'that', 'start': 0.75, 'end': 0.9}, {'word': 'i', 'start': 0.975, 'end': 1.125}, {'word': 'heard', 'start': 1.275, 'end': 1.575}, {'word': 'you', 'start': 1.725, 'end': 1.875}, {'word': 'laughing', 'start': 2.025, 'end': 2.925}]",0.0,00dae9818fe74c15897e4e7c52e75294-23.wav
i thought that i heard you sing,110.084,112.709,"[{'word': 'i', 'start': 0.0, 'end': 0.15}, {'word': 'thought', 'start': 0.3, 'end': 0.525}, {'word': 'that', 'start': 0.75, 'end': 0.9}, {'word': 'i', 'start': 0.975, 'end': 1.125}, {'word': 'heard', 'start': 1.275, 'end': 1.575}, {'word': 'you', 'start': 1.725, 'end': 1.875}, {'word': 'sing', 'start': 2.025, 'end': 2.625}]",0.0,00dae9818fe74c15897e4e7c52e75294-24.wav
that was just a dream,131.384,133.784,"[{'word': 'that', 'start': 0.0, 'end': 0.375}, {'word': 'was', 'start': 0.525, 'end': 0.75}, {'word': 'just', 'start': 0.975, 'end': 1.275}, {'word': 'a', 'start': 1.425, 'end': 1.575}, {'word': 'dream', 'start': 1.725, 'end': 2.4}]",0.0,00dae9818fe74c15897e4e7c52e75294-26.wav
but that was just a dream,184.709,187.409,"[{'word': 'but', 'start': 0.0, 'end': 0.15}, {'word': 'that', 'start': 0.375, 'end': 0.675}, {'word': 'was', 'start': 0.825, 'end': 1.05}, {'word': 'just', 'start': 1.275, 'end': 1.65}, {'word': 'a', 'start': 1.8, 'end': 1.95}, {'word': 'dream', 'start': 2.025, 'end': 2.7}]",0.0,00dae9818fe74c15897e4e7c52e75294-38.wav
that was just a dream,192.734,194.909,"[{'word': 'that', 'start': 0.0, 'end': 0.3}, {'word': 'was', 'start': 0.45, 'end': 0.675}, {'word': 'just', 'start': 0.9, 'end': 1.2}, {'word': 'a', 'start': 1.425, 'end': 1.575}, {'word': 'dream', 'start': 1.65, 'end': 2.175}]",0.0,00dae9818fe74c15897e4e7c52e75294-40.wav
what i got to do,28.294,29.621,"[{'word': 'what', 'start': 0.0, 'end': 0.19}, {'word': 'i', 'start': 0.19, 'end': 0.379}, {'word': 'got', 'start': 0.379, 'end': 0.569}, {'word': 'to', 'start': 0.569, 'end': 0.758}, {'word': 'do', 'start': 0.758, 'end': 1.327}]",0.0,00dd3fdd30ae40628a7a96eea4bc1bf1-2.wav
cattle prod the oyster ditch,25.867,28.645,"[{'word': 'cattle', 'start': 0.0, 'end': 0.333}, {'word': 'prod', 'start': 0.333, 'end': 0.945}, {'word': 'the', 'start': 0.945, 'end': 1.333}, {'word': 'oyster', 'start': 1.333, 'end': 2.111}, {'word': 'ditch', 'start': 2.111, 'end': 2.778}]",0.0,00dfbe92cfd9443987631a3f548f79f1-2.wav
with the lap rocket,29.978,31.034,"[{'word': 'with', 'start': 0.0, 'end': 0.167}, {'word': 'the', 'start': 0.167, 'end': 0.389}, {'word': 'lap', 'start': 0.389, 'end': 0.611}, {'word': 'rocket', 'start': 0.611, 'end': 1.056}]",0.0,00dfbe92cfd9443987631a3f548f79f1-3.wav
with the boink swatter,43.867,45.034,"[{'word': 'with', 'start': 0.0, 'end': 0.333}, {'word': 'the', 'start': 0.333, 'end': 0.5}, {'word': 'boink', 'start': 0.5, 'end': 0.722}, {'word': 'swatter', 'start': 0.722, 'end': 1.167}]",0.0,00dfbe92cfd9443987631a3f548f79f1-7.wav
if i get you in the loop when,45.978,47.423,"[{'word': 'if', 'start': 0.0, 'end': 0.167}, {'word': 'i', 'start': 0.167, 'end': 0.556}, {'word': 'get', 'start': 0.556, 'end': 0.722}, {'word': 'you', 'start': 0.722, 'end': 0.889}, {'word': 'in', 'start': 0.889, 'end': 1.0}, {'word': 'the', 'start': 1.0, 'end': 1.111}, {'word': 'loop', 'start': 1.111, 'end': 1.278}, {'word': 'when', 'start': 1.278, 'end': 1.445}]",0.0,00dfbe92cfd9443987631a3f548f79f1-8.wav
in the end know my intent though,50.978,52.756,"[{'word': 'in', 'start': 0.0, 'end': 0.111}, {'word': 'the', 'start': 0.111, 'end': 0.334}, {'word': 'end', 'start': 0.334, 'end': 0.722}, {'word': 'know', 'start': 0.722, 'end': 0.889}, {'word': 'my', 'start': 0.889, 'end': 1.056}, {'word': 'intent', 'start': 1.056, 'end': 1.445}, {'word': 'though', 'start': 1.445, 'end': 1.778}]",0.0,00dfbe92cfd9443987631a3f548f79f1-11.wav
i brazillian wax poetic so hypothetically,52.867,56.034,"[{'word': 'i', 'start': 0.0, 'end': 0.167}, {'word': 'brazillian', 'start': 0.167, 'end': 0.667}, {'word': 'wax', 'start': 0.667, 'end': 0.945}, {'word': 'poetic', 'start': 0.945, 'end': 1.667}, {'word': 'so', 'start': 1.667, 'end': 2.056}, {'word': 'hypothetically', 'start': 2.056, 'end': 3.167}]",0.0,00dfbe92cfd9443987631a3f548f79f1-12.wav
foxtrot unifrom charlie kilo,60.7,66.756,"[{'word': 'foxtrot', 'start': 0.0, 'end': 0.834}, {'word': 'unifrom', 'start': 1.778, 'end': 2.667}, {'word': 'charlie', 'start': 3.445, 'end': 4.278}, {'word': 'kilo', 'start': 5.223, 'end': 6.056}]",0.0,00dfbe92cfd9443987631a3f548f79f1-14.wav
foxtrot uniform charlie kilo,67.7,73.756,"[{'word': 'foxtrot', 'start': 0.0, 'end': 0.889}, {'word': 'uniform', 'start': 1.778, 'end': 2.556}, {'word': 'charlie', 'start': 3.5, 'end': 4.334}, {'word': 'kilo', 'start': 5.278, 'end': 6.056}]",0.0,00dfbe92cfd9443987631a3f548f79f1-15.wav
marinate the nether rod,88.867,91.534,"[{'word': 'marinate', 'start': 0.0, 'end': 1.0}, {'word': 'the', 'start': 1.0, 'end': 1.389}, {'word': 'nether', 'start': 1.389, 'end': 2.222}, {'word': 'rod', 'start': 2.222, 'end': 2.667}]",0.0,00dfbe92cfd9443987631a3f548f79f1-16.wav
power drill the yippee bog,95.867,98.423,"[{'word': 'power', 'start': 0.0, 'end': 0.389}, {'word': 'drill', 'start': 0.389, 'end': 1.056}, {'word': 'the', 'start': 1.056, 'end': 1.445}, {'word': 'yippee', 'start': 1.445, 'end': 2.111}, {'word': 'bog', 'start': 2.111, 'end': 2.556}]",0.0,00dfbe92cfd9443987631a3f548f79f1-18.wav
i make a point to be straight with you then,117.589,119.256,"[{'word': 'i', 'start': 0.0, 'end': 0.167}, {'word': 'make', 'start': 0.167, 'end': 0.334}, {'word': 'a', 'start': 0.334, 'end': 0.445}, {'word': 'point', 'start': 0.445, 'end': 0.556}, {'word': 'to', 'start': 0.556, 'end': 0.611}, {'word': 'be', 'start': 0.611, 'end': 0.778}, {'word': 'straight', 'start': 0.778, 'end': 1.111}, {'word': 'with', 'start': 1.111, 'end': 1.278}, {'word': 'you', 'start': 1.278, 'end': 1.445}, {'word': 'then', 'start': 1.445, 'end': 1.667}]",0.0,00dfbe92cfd9443987631a3f548f79f1-25.wav
in the end know my intent though,121.089,122.756,"[{'word': 'in', 'start': 0.0, 'end': 0.167}, {'word': 'the', 'start': 0.167, 'end': 0.334}, {'word': 'end', 'start': 0.334, 'end': 0.556}, {'word': 'know', 'start': 0.556, 'end': 0.778}, {'word': 'my', 'start': 0.778, 'end': 1.056}, {'word': 'intent', 'start': 1.056, 'end': 1.445}, {'word': 'though', 'start': 1.445, 'end': 1.667}]",0.0,00dfbe92cfd9443987631a3f548f79f1-27.wav
i brazillian wax poetic so hypothetically,122.867,126.034,"[{'word': 'i', 'start': 0.0, 'end': 0.167}, {'word': 'brazillian', 'start': 0.167, 'end': 0.722}, {'word': 'wax', 'start': 0.722, 'end': 1.0}, {'word': 'poetic', 'start': 1.0, 'end': 1.667}, {'word': 'so', 'start': 1.889, 'end': 2.167}, {'word': 'hypothetically', 'start': 2.167, 'end': 3.167}]",0.0,00dfbe92cfd9443987631a3f548f79f1-28.wav
in the you know where,163.589,164.812,"[{'word': 'in', 'start': 0.0, 'end': 0.167}, {'word': 'the', 'start': 0.167, 'end': 0.334}, {'word': 'you', 'start': 0.334, 'end': 0.556}, {'word': 'know', 'start': 0.556, 'end': 0.778}, {'word': 'where', 'start': 0.778, 'end': 1.223}]",0.0,00dfbe92cfd9443987631a3f548f79f1-35.wav
put the you know what,168.867,170.145,"[{'word': 'put', 'start': 0.0, 'end': 0.167}, {'word': 'the', 'start': 0.167, 'end': 0.389}, {'word': 'you', 'start': 0.389, 'end': 0.611}, {'word': 'know', 'start': 0.611, 'end': 0.833}, {'word': 'what', 'start': 0.833, 'end': 1.278}]",0.0,00dfbe92cfd9443987631a3f548f79f1-38.wav
i am hoping i can find,66.625,69.157,"[{'word': 'i', 'start': 0.0, 'end': 0.188}, {'word': 'am', 'start': 0.281, 'end': 0.375}, {'word': 'hoping', 'start': 0.469, 'end': 1.125}, {'word': 'i', 'start': 1.219, 'end': 1.5}, {'word': 'can', 'start': 1.594, 'end': 1.875}, {'word': 'find', 'start': 1.969, 'end': 2.532}]",0.0,010d11ec37bd468f93af7f87a54e69ac-13.wav
where to leave my hurt behind,69.625,72.157,"[{'word': 'where', 'start': 0.0, 'end': 0.188}, {'word': 'to', 'start': 0.282, 'end': 0.375}, {'word': 'leave', 'start': 0.469, 'end': 0.75}, {'word': 'my', 'start': 0.844, 'end': 1.125}, {'word': 'hurt', 'start': 1.219, 'end': 1.5}, {'word': 'behind', 'start': 1.594, 'end': 2.532}]",0.0,010d11ec37bd468f93af7f87a54e69ac-14.wav
heart stops,92.033,94.377,"[{'word': 'heart', 'start': 0.0, 'end': 0.281}, {'word': 'stops', 'start': 0.375, 'end': 2.344}]",0.0,010d11ec37bd468f93af7f87a54e69ac-21.wav
i will make it go away,107.784,110.128,"[{'word': 'i', 'start': 0.0, 'end': 0.094}, {'word': 'will', 'start': 0.188, 'end': 0.281}, {'word': 'make', 'start': 0.375, 'end': 0.469}, {'word': 'it', 'start': 0.563, 'end': 0.656}, {'word': 'go', 'start': 0.75, 'end': 0.844}, {'word': 'away', 'start': 0.938, 'end': 2.344}]",0.0,010d11ec37bd468f93af7f87a54e69ac-24.wav
all a lone i seem to break,147.63,150.068,"[{'word': 'all', 'start': 0.0, 'end': 0.188}, {'word': 'a', 'start': 0.282, 'end': 0.375}, {'word': 'lone', 'start': 0.469, 'end': 0.75}, {'word': 'i', 'start': 0.844, 'end': 1.125}, {'word': 'seem', 'start': 1.219, 'end': 1.5}, {'word': 'to', 'start': 1.594, 'end': 1.875}, {'word': 'break', 'start': 1.969, 'end': 2.438}]",0.0,010d11ec37bd468f93af7f87a54e69ac-35.wav
